keys,en,ja,zh
DIABLO_GUARDS_U,Diablo Guards U,ディアブロＵガード,角龙Ｕ护臂
DIABLO_HELM,Diablo Helm,ディアブロヘルム,角龙头铠
DIABLO_HELM_PLUS,Diablo Helm+,ディアブロＧヘルム,角龙Ｇ头铠
DIABLO_HELM_S,Diablo Helm S,ディアブロＳヘルム,角龙Ｓ头铠
DIABLO_HELM_U,Diablo Helm U,ディアブロＵヘルム,角龙Ｕ头铠
DIABLO_MAIL,Diablo Mail,ディアブロメイル,角龙铠甲
DIABLO_MAIL_PLUS,Diablo Mail+,ディアブロＧメイル,角龙Ｇ铠甲
DIABLO_MAIL_S,Diablo Mail S,ディアブロＳメイル,角龙Ｓ铠甲
DIABLO_MAIL_U,Diablo Mail U,ディアブロＵメイル,角龙Ｕ铠甲
DIABLO_VAMBRACES,Diablo Vambraces,ディアブロアーム,角龙臂甲
DIABLO_VAMBRACES_PLUS,Diablo Vambraces+,ディアブロＧアーム,角龙Ｇ臂甲
DIABLO_VAMBRACES_S,Diablo Vambraces S,ディアブロＳアーム,角龙Ｓ臂甲
DIABLO_VAMBRACES_U,Diablo Vambraces U,ディアブロＵアーム,角龙Ｕ臂甲
DIABLO_VEST,Diablo Vest,ディアブロレジスト,角龙轻甲
DIABLO_VEST_PLUS,Diablo Vest+,ディアブロＧレジスト,角龙Ｇ轻甲
DIABLO_VEST_S,Diablo Vest S,ディアブロＳレジスト,角龙Ｓ轻甲
DIABLO_VEST_U,Diablo Vest U,ディアブロＵレジスト,角龙Ｕ轻甲
DIABLOS_CARAPACE,Diablos Carapace,黒角竜の甲殻,黑角龙的甲壳
DIABLOS_SHELL,Diablos Shell,角竜の甲殻,角龙的甲壳
DIABLOS_SPINE,Diablos Spine,角竜の背甲,角龙的背甲
DIABLOS_THORACIC,Diablos Thoracic,角竜の堅甲,角龙的坚甲
DISASTER,Disaster,災難,灾难
DISC_STONE,Disc Stone,円盤石,圆盘石
DISPLAY_STYLE,Display Style,,
DIVINE_PROTECTION,Divine Protection,精霊の加護,精灵的加护
DIVINE_TOOLSAVER,Divine Toolsaver,神のきまぐれ,神的反复无常
DIVINE_WHIM,Divine Whim,神の気まぐれ,神的反覆无常
DRAGON_MINUS_10_MH1,Dragon - 10,龍耐性－10,龍耐性－10
DRAGON_MINUS_10_MHG,Dragon Res -10,龍耐性-10,龍耐性-10
DRAGON_MINUS_3_MHG,Dragon Res -3,龍耐性-3,龍耐性-3
DRAGON_MINUS_5_MHG,Dragon Res -5,龍耐性-5,龍耐性-5
DRAGON_PLUS_10_MHG,Dragon Res +10,龍耐性+10,龍耐性+10
DRAGON_PLUS_25_MH1,Dragon + 25,龍耐性＋25,龍耐性＋25
DRAGON_PLUS_3_MHG,Dragon Res +3,龍耐性+3,龍耐性+3
DRAGON_PLUS_5_MHG,Dragon Res +5,龍耐性+5,龍耐性+5
DRAGON_RESISTANCE,Dragon Resistance,龍耐性,龍耐性
DRAGON_SEED,Dragon Seed,龍殺しの実,杀龍果
DRAGONCLAW,Dragonclaw,ドラゴンクロウ,邪龍之爪
DRAGONCLAW_PLUS,Dragonclaw+,ドラゴンＧクロウ,邪龍Ｇ之爪
DRAGONCLAW_S,Dragonclaw S,ドラゴンＳクロウ,邪龍Ｓ之爪
DRAGONFACE,Dragonface,ドラゴンフェイス,邪龍之面
DRAGONFACE_PLUS,Dragonface+,ドラゴンＧフェイス,邪龍Ｇ之面
DRAGONFACE_S,Dragonface S,ドラゴンＳフェイス,邪龍Ｓ之面
DRAGONFEET,Dragonfeet,ドラゴンフット,邪龍之足
DRAGONFEET_PLUS,Dragonfeet+,ドラゴンＧフット,邪龍Ｇ之足
DRAGONFEET_S,Dragonfeet S,ドラゴンＳフット,邪龍Ｓ之足
DRAGONFIST,Dragonfist,ドラゴンフィスト,邪龍之拳
DRAGONFIST_PLUS,Dragonfist+,ドラゴンＧフィスト,邪龍Ｇ之拳
DRAGONFIST_S,Dragonfist S,ドラゴンＳフィスト,邪龍Ｓ之拳
DRAGONHEAD,Dragonhead,ドラゴンヘッド,邪龍之首
DRAGONHEAD_PLUS,Dragonhead+,ドラゴンＧヘッド,邪龍Ｇ之首
DRAGONHEAD_S,Dragonhead S,ドラゴンＳヘッド,邪龍Ｓ之首
DRAGONHIDE,Dragonhide,ドラゴンハイド,邪龍之皮
DRAGONHIDE_PLUS,Dragonhide+,ドラゴンＧハイド,邪龍Ｇ之皮
DRAGONHIDE_S,Dragonhide S,ドラゴンＳハイド,邪龍Ｓ之皮
DRAGONITE_ORE,Dragonite Ore,ドラグライト鉱石,辉龙石
DRAGONLEGS,Dragonlegs,ドラゴンレグス,邪龍之胫
DRAGONLEGS_PLUS,Dragonlegs+,ドラゴンＧレグス,邪龍Ｇ之胫
DRAGONLEGS_S,Dragonlegs S,ドラゴンＳレグス,邪龍Ｓ之胫
DRAGONSKIN,Dragonskin,ドラゴンスキン,邪龍之肤
DRAGONSKIN_PLUS,Dragonskin+,ドラゴンＧスキン,邪龍Ｇ之肤
DRAGONSKIN_S,Dragonskin S,ドラゴンＳスキン,邪龍Ｓ之肤
DRAGONTAIL,Dragontail,ドラゴンテイル,邪龍之尾
DRAGONTAIL_PLUS,Dragontail+,ドラゴンＧテイル,邪龍Ｇ之尾
DRAGONTAIL_S,Dragontail S,ドラゴンＳテイル,邪龍Ｓ之尾
DRAGONWINGS,Dragonwings,ドラゴンウィング,邪龍之翼
DRAGONWINGS_PLUS,Dragonwings+,ドラゴンＧウィング,邪龍Ｇ之翼
DRAGONWINGS_S,Dragonwings S,ドラゴンＳウィング,邪龍Ｓ之翼
EARLY_BIRD_PIERCING,Early Bird Piercing,ハヤテのピアス,疾风耳饰
EARPLUGS_HIGH,High Grade Earplugs,高級耳栓,高级耳栓
EARPLUGS_LOW,Earplugs,耳栓,耳栓
EARPLUGS_SKILL,Earplugs,聴覚保護,听觉保护
EARTH_CRYSTAL,Earth Crystal,大地の結晶,大地的结晶
EATING_PLUS_1,Eating +1,まんぷく+1,饱腹+1
EATING_PLUS_2,Eating +2,まんぷく+2,饱腹+2
EGG_TICKET,Egg Ticket,たまご券,蛋券
ELECTRO_SAC,Electro Sac,電気袋,电气袋
ELEMENT_RES_MINUS_10,Element Res -10,各耐性-10,各耐性-10
ELEMENT_RES_MINUS_3,Element Res -3,各耐性-3,各耐性-3
ELEMENT_RES_MINUS_5,Element Res -5,各耐性-5,各耐性-5
ELEMENT_RES_PLUS_10,Element Res +10,各耐性+10,各耐性+10
ELEMENT_RES_PLUS_3,Element Res +3,各耐性+3,各耐性+3
ELEMENT_RES_PLUS_5,Element Res +5,各耐性+5,各耐性+5
ELEMENT_RES_UP,Element Res Up,全耐性ＵＰ,全耐性UP
ENABLE_ARMOR_RESTRICTIONS,Enable Armor Restrictions,,启用防具类型限制
ENGLISH,English,英語,英语
EQUIP,Equip,,
ESP,ESP,心眼,心眼
EXPERT_PIERCING,Expert Piercing,達人のピアス,达人耳饰
FACE,Face,,面容
FACE_1,Face 1,,面容1
FACE_10,Face 10,,面容10
FACE_11,Face 11,,面容11
FACE_12,Face 12,,面容12
FACE_13,Face 13,,面容13
FACE_14,Face 14,,面容14
FACE_15,Face 15,,面容15
FACE_16,Face 16,,面容16
FACE_17,Face 17,,面容17
FACE_18,Face 18,,面容18
FACE_19,Face 19,,面容19
FACE_2,Face 2,,面容2
FACE_20,Face 20,,面容20
FACE_21,Face 21,,面容21
FACE_22,Face 22,,面容22
FACE_23,Face 23,,面容23
FACE_24,Face 24,,面容24
FACE_3,Face 3,,面容3
FACE_4,Face 4,,面容4
FACE_5,Face 5,,面容5
FACE_6,Face 6,,面容6
FACE_7,Face 7,,面容7
FACE_8,Face 8,,面容8
FACE_9,Face 9,,面容9
FARSIGHT,Farsight,地図常備,地图常备
FATALIS_CRIMSON_CHEST_SHELL,Fatalis' Crimson Chest Shell,黒龍の紅胸殻,黑龍的红胸壳
FATALIS_CRIMSON_HORN,Fatalis' Crimson Horn,黒龍の紅角,黑龍的红角
FATALIS_CRIMSON_SCALE,Fatalis' Crimson Scale,黒龍の紅鱗,黑龍的红鳞
FATALIS_CRIMSON_SHELL,Fatalis' Crimson Shell,黒龍の紅殻,黑龍的红壳
FATALIS_CRIMSON_WING,Fatalis' Crimson Wing,黒龍の紅翼,黑龍的红翼
FATALIS_CRIMSONCLAW,Fatalis Crimsonclaw,ミラバルカンクロウ,魔龍之爪
FATALIS_CRIMSONFACE,Fatalis Crimsonface,ミラバルカンフェイス,魔龍之面
FATALIS_CRIMSONFEET,Fatalis Crimsonfeet,ミラバルカンフット,魔龍之足
FATALIS_CRIMSONFIST,Fatalis Crimsonfist,ミラバルカンフィスト,魔龍之拳
FATALIS_CRIMSONHEAD,Fatalis Crimsonhead,ミラバルカンヘッド,魔龍之首
FATALIS_CRIMSONHIDE,Fatalis Crimsonhide,ミラバルカンハイド,魔龍之皮
FATALIS_CRIMSONLEGS,Fatalis Crimsonlegs,ミラバルカンレグス,魔龍之胫
FATALIS_CRIMSONSKIN,Fatalis Crimsonskin,ミラバルカンスキン,魔龍之肤
FATALIS_CRIMSONTAIL,Fatalis Crimsontail,ミラバルカンテイル,魔龍之尾
FATALIS_CRIMSONWING,Fatalis Crimsonwing,ミラバルカンウィング,魔龍之翼
FATALIS_CRUST,Fatalis' Crust,黒龍の堅殻,黑龍的坚壳
FATALIS_CRUST_PLUS,Fatalis' Crust+,黒龍の堅胸殻,黑龍的坚胸壳
FATALIS_DEVIL_EYE,Fatalis' Devil Eye,黒龍の魔眼,黑龍的魔眼
FATALIS_EVIL_EYE,Fatalis' Evil Eye,黒龍の邪眼,黑龍的邪眼
FATALIS_EYE,Fatalis' Eye,黒龍の眼,黑龍的眼
FATALIS_EYE_PLUS,Fatalis' Eye+,黒龍の鋭眼,黑龍的锐眼
FATALIS_GORE,Fatalis' Gore,黒龍の鋭角,黑龍的锐角
FATALIS_HEAVY_CHEST_SHELL,Fatalis' Heavy Chest Shell,黒龍の重胸殻,黑龍的重胸壳
FATALIS_HEAVY_SHELL,Fatalis' Heavy Shell,黒龍の重殻,黑龍的重壳
FATALIS_HORN,Fatalis' Horn,黒龍の角,黑龍的角
FATALIS_RIGID_WING,Fatalis' Rigid Wing,黒龍の剛翼,黑龍的刚翼
FATALIS_SCALE,Fatalis' Scale,黒龍の鱗,黑龍的鳞
FATALIS_SCALE_PLUS,Fatalis' Scale+,黒龍の上鱗,黑龍的上鳞
FATALIS_SHARD,Fatalis' Shard,黒龍の厚鱗,黑龍的厚鳞
FATALIS_SHELL,Fatalis' Shell,黒龍の甲殻,黑龍的甲壳
FATALIS_SPIKE,Fatalis' Spike,黒龍の尖角,黑龍的尖角
FATALIS_WEBBING,Fatalis' Webbing,黒龍の翼膜,黑龍的翼膜
FATALIS_WING,Fatalis' Wing,黒龍の翼,黑龍的翼
FATE,Fate,運気,运气
FEMALE,Female,女性,女性
FIRE_MINUS_10_MH1,Fire - 10,火耐性－10,火耐性－10
FIRE_MINUS_10_MHG,Fire Res -10,火耐性-10,火耐性-10
FIRE_MINUS_3_MHG,Fire Res -3,火耐性-3,火耐性-3
FIRE_MINUS_5_MHG,Fire Res -5,火耐性-5,火耐性-5
FIRE_PLUS_10_MHG,Fire Res +10,火耐性+10,火耐性+10
FIRE_PLUS_25_MH1,Fire + 25,火耐性＋25,火耐性＋25
FIRE_PLUS_3_MHG,Fire Res +3,火耐性+3,火耐性+3
FIRE_PLUS_5_MHG,Fire Res +5,火耐性+5,火耐性+5
FIRE_RESISTANCE,Fire Resistance,火耐性,火耐性
FIRECELL_STONE,Firecell Stone,獄炎石,狱炎石
FIRESTONE,Firestone,紅蓮石,红莲石
FISHER,Fisher,釣り,垂钓
FISHING_MASTER,Fishing Master,釣り名人,垂钓名人
FLABBY_HIDE,Flabby Hide,ブヨブヨした皮,柔软的皮
FLUTE_MASTER,Flute Master,笛吹き名人,吹笛名人
FLUTE_SKILL,Flute,笛,笛
FORGING_PRICE,Forge,生産価格,
GATHERING,Gathering,採取,采取
GATHERING_MINUS_1,Gathering -1,採取-1,采取-1
GATHERING_MINUS_2,Gathering -2,採取-2,采取-2
GATHERING_PLUS_1,Gathering +1,採取+1,采取+1
GATHERING_PLUS_2,Gathering +2,採取+2,采取+2
GAUNTLETS,Gauntlets,篭手,腕装备
GENDROME_HIDE,Gendrome Hide,ドスゲネポスの皮,黄速龙王的皮
GENESIS_GAUNTLETS,Genesis Gauntlets,曙丸【篭手】,曙丸【笼手】
GENESIS_GAUNTLETS_HAKU,Genesis Gauntlets Haku,曙丸・覇【篭手】,曙丸・霸【笼手】
GENESIS_GAUNTLETS_MAI,Genesis Gauntlets Mai,曙丸・羅【篭手】,曙丸・罗【笼手】
GENESIS_GAUNTLETS_TEN,Genesis Gauntlets Ten,曙丸・皇【篭手】,曙丸・皇【笼手】
GENESIS_HEADPIECE,Genesis Headpiece,曙丸【烏帽子】,曙丸【乌帽子】
GENESIS_HEADPIECE_HAKU,Genesis Headpiece Haku,曙丸・覇【烏帽子】,曙丸・霸【乌帽子】
GENESIS_HEADPIECE_MAI,Genesis Headpiece Mai,曙丸・羅【烏帽子】,曙丸・罗【乌帽子】
GENESIS_HEADPIECE_TEN,Genesis Headpiece Ten,曙丸・皇【烏帽子】,曙丸・皇【乌帽子】
GENESIS_PANTS,Genesis Pants,曙丸【具足】,曙丸【具足】
GENESIS_PANTS_HAKU,Genesis Pants Haku,曙丸・覇【具足】,曙丸・霸【具足】
GENESIS_PANTS_MAI,Genesis Pants Mai,曙丸・羅【具足】,曙丸・罗【具足】
GENESIS_PANTS_TEN,Genesis Pants Ten,曙丸・皇【具足】,曙丸・皇【具足】
GENESIS_TASSET,Genesis Tasset,曙丸【腰当て】,曙丸【腰当】
GENESIS_TASSET_HAKU,Genesis Tasset Haku,曙丸・覇【腰当て】,曙丸・霸【腰当】
GENESIS_TASSET_MAI,Genesis Tasset Mai,曙丸・羅【腰当て】,曙丸・罗【腰当】
GENESIS_TASSET_TEN,Genesis Tasset Ten,曙丸・皇【腰当て】,曙丸・皇【腰当】
GENESIS_TORSO,Genesis Torso,曙丸【胴当て】,曙丸【胴当】
GENESIS_TORSO_HAKU,Genesis Torso Haku,曙丸・覇【胴当て】,曙丸・霸【胴当】
GENESIS_TORSO_MAI,Genesis Torso Mai,曙丸・羅【胴当て】,曙丸・罗【胴当】
GENESIS_TORSO_TEN,Genesis Torso Ten,曙丸・皇【胴当て】,曙丸・皇【胴当】
GENPREY_CAP,Genprey Cap,ゲネポスキャップ,黄速龙软帽
GENPREY_CAP_PLUS,Genprey Cap+,ゲネポスＧキャップ,黄速龙Ｇ软帽
GENPREY_CAP_S,Genprey Cap S,ゲネポスＳキャップ,黄速龙Ｓ软帽
GENPREY_COAT,Genprey Coat,ゲネポスコート,黄速龙围腰
GENPREY_COAT_PLUS,Genprey Coat+,ゲネポスＧコート,黄速龙Ｇ围腰
GENPREY_COAT_S,Genprey Coat S,ゲネポスＳコート,黄速龙Ｓ围腰
GENPREY_GREAVES,Genprey Greaves,ゲネポスグリーヴ,黄速龙胫甲
GENPREY_GREAVES_PLUS,Genprey Greaves+,ゲネポスＧグリーヴ,黄速龙Ｇ胫甲
GENPREY_GREAVES_S,Genprey Greaves S,ゲネポスＳグリーヴ,黄速龙Ｓ胫甲
GENPREY_GUARDS,Genprey Guards,ゲネポスガード,黄速龙护臂
GENPREY_GUARDS_PLUS,Genprey Guards+,ゲネポスＧガード,黄速龙Ｇ护臂
GENPREY_GUARDS_S,Genprey Guards S,ゲネポスＳガード,黄速龙Ｓ护臂
GENPREY_HELM,Genprey Helm,ゲネポスヘルム,黄速龙头铠
GENPREY_HELM_PLUS,Genprey Helm+,ゲネポスＧヘルム,黄速龙Ｇ头铠
GENPREY_HELM_S,Genprey Helm S,ゲネポスＳヘルム,黄速龙Ｓ头铠
GENPREY_HIDE,Genprey Hide,ゲネポスの皮,黄速龙的皮
GENPREY_HIDE_PLUS,Genprey Hide+,ゲネポスの上皮,黄速龙的上皮
GENPREY_LEGGINGS,Genprey Leggings,ゲネポスレギンス,黄速龙护胫
GENPREY_LEGGINGS_PLUS,Genprey Leggings+,ゲネポスＧレギンス,黄速龙Ｇ护胫
GENPREY_LEGGINGS_S,Genprey Leggings S,ゲネポスＳレギンス,黄速龙Ｓ护胫
GENPREY_MAIL,Genprey Mail,ゲネポスメイル,黄速龙铠甲
GENPREY_MAIL_PLUS,Genprey Mail+,ゲネポスＧメイル,黄速龙Ｇ铠甲
GENPREY_MAIL_S,Genprey Mail S,ゲネポスＳメイル,黄速龙Ｓ铠甲
GENPREY_SCALE,Genprey Scale,ゲネポスの鱗,黄速龙的鳞
GENPREY_SCALE_PLUS,Genprey Scale+,ゲネポスの上鱗,黄速龙的上鳞
GENPREY_TASSET,Genprey Tasset,ゲネポスフォールド,黄速龙腰甲
GENPREY_TASSET_PLUS,Genprey Tasset+,ゲネポスＧフォールド,黄速龙Ｇ腰甲
GENPREY_TASSET_S,Genprey Tasset S,ゲネポスＳフォールド,黄速龙Ｓ腰甲
GENPREY_VAMBRACES,Genprey Vambraces,ゲネポスアーム,黄速龙臂甲
GENPREY_VAMBRACES_PLUS,Genprey Vambraces+,ゲネポスＧアーム,黄速龙Ｇ臂甲
GENPREY_VAMBRACES_S,Genprey Vambraces S,ゲネポスＳアーム,黄速龙Ｓ臂甲
GENPREY_VEST,Genprey Vest,ゲネポスレジスト,黄速龙轻甲
GENPREY_VEST_PLUS,Genprey Vest+,ゲネポスＧレジスト,黄速龙Ｇ轻甲
GENPREY_VEST_S,Genprey Vest S,ゲネポスＳレジスト,黄速龙Ｓ轻甲
GLUTTONY,Gluttony,食いしん坊,贪吃鬼
GLYPH_CHEST,Glyph Chest,艶【胸当て】,艳【胸当】
GLYPH_CHEST_HAKU,Glyph Chest Haku,艶・覇【胸当て】,艳・霸【胸当】
GLYPH_CHEST_MAI,Glyph Chest Mai,艶・羅【胸当て】,艳・罗【胸当】
GLYPH_CHEST_TEN,Glyph Chest Ten,艶・皇【胸当て】,艳・皇【胸当】
GLYPH_CROWN,Glyph Crown,艶【鉢金】,艳【钵金】
GLYPH_CROWN_HAKU,Glyph Crown Haku,艶・覇【鉢金】,艳・霸【钵金】
GLYPH_CROWN_MAI,Glyph Crown Mai,艶・羅【鉢金】,艳・罗【钵金】
GLYPH_CROWN_TEN,Glyph Crown Ten,艶・皇【鉢金】,艳・皇【钵金】
GLYPH_GAUNTLETS,Glyph Gauntlets,艶【篭手】,艳【笼手】
GLYPH_GAUNTLETS_HAKU,Glyph Gauntlets Haku,艶・覇【篭手】,艳・霸【笼手】
GLYPH_GAUNTLETS_MAI,Glyph Gauntlets Mai,艶・羅【篭手】,艳・罗【笼手】
GLYPH_GAUNTLETS_TEN,Glyph Gauntlets Ten,艶・皇【篭手】,艳・皇【笼手】
GLYPH_PANTS,Glyph Pants,艶【袴】,艳【裤】
GLYPH_PANTS_HAKU,Glyph Pants Haku,艶・覇【袴】,艳・霸【裤】
GLYPH_PANTS_MAI,Glyph Pants Mai,艶・羅【袴】,艳・罗【裤】
GLYPH_PANTS_TEN,Glyph Pants Ten,艶・皇【袴】,艳・皇【裤】
GLYPH_TASSET,Glyph Tasset,艶【腰当て】,艳【腰当】
GLYPH_TASSET_HAKU,Glyph Tasset Haku,艶・覇【腰当て】,艳・霸【腰当】
GLYPH_TASSET_MAI,Glyph Tasset Mai,艶・羅【腰当て】,艳・罗【腰当】
GLYPH_TASSET_TEN,Glyph Tasset Ten,艶・皇【腰当て】,艳・皇【腰当】
GOLD_RATHIAN_CLAW,Gold Rathian Claw,金火竜の翼爪,金火龙的翼爪
GOLD_RATHIAN_PLATE,Gold Rathian Plate,金火竜の逆鱗,金火龙的逆鳞
GOLD_RATHIAN_RUBY,Gold Rathian Ruby,金火竜の紅玉,金火龙的红玉
GOLD_RATHIAN_SCALE,Gold Rathian Scale,金火竜の鱗,金火龙的鳞
GOLD_RATHIAN_SHELL,Gold Rathian Shell,金火竜の甲殻,金火龙的甲壳
GOLD_RATHIAN_SPIKE,Gold Rathian Spike,金火竜の棘,金火龙的棘
GOLDEN_MOON_CAP,Golden Moon Cap,ゴールドルナキャップ,金月软帽
GOLDEN_MOON_COAT,Golden Moon Coat,ゴールドルナコート,金月围腰
GOLDEN_MOON_GREAVES,Golden Moon Greaves,ゴールドルナグリーヴ,金月胫甲
GOLDEN_MOON_GUARDS,Golden Moon Guards,ゴールドルナガード,金月护臂
GOLDEN_MOON_HELM,Golden Moon Helm,ゴールドルナヘルム,金月头铠
GOLDEN_MOON_LEGGINGS,Golden Moon Leggings,ゴールドルナレギンス,金月护胫
GOLDEN_MOON_MAIL,Golden Moon Mail,ゴールドルナメイル,金月铠甲
GOLDEN_MOON_TASSET,Golden Moon Tasset,ゴールドルナコイル,金月扣带
GOLDEN_MOON_VAMBRACES,Golden Moon Vambraces,ゴールドルナアーム,金月臂甲
GOLDEN_MOON_VEST,Golden Moon Vest,ゴールドルナレジスト,金月轻甲
GOOD_FORTUNE,Good Fortune,幸運,幸运
GOOD_LUCK,Good Luck,幸運,幸运
GRAVIOS_CAP,Gravios Cap,グラビドキャップ,铠龙软帽
GRAVIOS_CAP_PLUS,Gravios Cap+,グラビドＧキャップ,铠龙Ｇ软帽
GRAVIOS_CAP_S,Gravios Cap S,グラビドＳキャップ,铠龙Ｓ软帽
GRAVIOS_CAP_U,Gravios Cap U,グラビドＵキャップ,铠龙Ｕ软帽
GRAVIOS_CARAPACE,Gravios Carapace,鎧竜の堅殻,铠龙的坚壳
GRAVIOS_COAT,Gravios Coat,グラビドコート,铠龙围腰
GRAVIOS_COAT_PLUS,Gravios Coat+,グラビドＧコート,铠龙Ｇ围腰
GRAVIOS_COAT_S,Gravios Coat S,グラビドＳコート,铠龙Ｓ围腰
GRAVIOS_COAT_U,Gravios Coat U,グラビドＵコート,铠龙Ｕ围腰
GRAVIOS_COIN,Gravios Coin,鎧竜のコイン,铠龙的硬币
GRAVIOS_GREAVES,Gravios Greaves,グラビドグリーヴ,铠龙胫甲
GRAVIOS_GREAVES_PLUS,Gravios Greaves+,グラビドＧグリーヴ,铠龙Ｇ胫甲
GRAVIOS_GREAVES_S,Gravios Greaves S,グラビドＳグリーヴ,铠龙Ｓ胫甲
GRAVIOS_GREAVES_U,Gravios Greaves U,グラビドＵグリーヴ,铠龙Ｕ胫甲
GRAVIOS_GUARDS,Gravios Guards,グラビドガード,铠龙护臂
GRAVIOS_GUARDS_PLUS,Gravios Guards+,グラビドＧガード,铠龙Ｇ护臂
GRAVIOS_GUARDS_S,Gravios Guards S,グラビドＳガード,铠龙Ｓ护臂
GRAVIOS_GUARDS_U,Gravios Guards U,グラビドＵガード,铠龙Ｕ护臂
GRAVIOS_HEAVY_SHELL,Gravios Heavy Shell,鎧竜の重殻,铠龙的重壳
GRAVIOS_HELM,Gravios Helm,グラビドヘルム,铠龙头铠
GRAVIOS_HELM_PLUS,Gravios Helm+,グラビドＧヘルム,铠龙Ｇ头铠
GRAVIOS_HELM_S,Gravios Helm S,グラビドＳヘルム,铠龙Ｓ头铠
GRAVIOS_HELM_U,Gravios Helm U,グラビドＵヘルム,铠龙Ｕ头铠
GRAVIOS_JAW,Gravios Jaw,鎧竜の顎,铠龙的颚
GRAVIOS_LEGGINGS,Gravios Leggings,グラビドレギンス,铠龙护胫
GRAVIOS_LEGGINGS_PLUS,Gravios Leggings+,グラビドＧレギンス,铠龙Ｇ护胫
GRAVIOS_LEGGINGS_S,Gravios Leggings S,グラビドＳレギンス,铠龙Ｓ护胫
GRAVIOS_LEGGINGS_U,Gravios Leggings U,グラビドＵレギンス,铠龙Ｕ护胫
GRAVIOS_MAIL,Gravios Mail,グラビドメイル,铠龙铠甲
GRAVIOS_MAIL_PLUS,Gravios Mail+,グラビドＧメイル,铠龙Ｇ铠甲
GRAVIOS_MAIL_S,Gravios Mail S,グラビドＳメイル,铠龙Ｓ铠甲
GRAVIOS_MAIL_U,Gravios Mail U,グラビドＵメイル,铠龙Ｕ铠甲
GRAVIOS_SHELL,Gravios Shell,鎧竜の甲殻,铠龙的甲壳
GRAVIOS_TASSET,Gravios Tasset,グラビドフォールド,铠龙腰甲
GRAVIOS_TASSET_PLUS,Gravios Tasset+,グラビドＧフォールド,铠龙Ｇ腰甲
GRAVIOS_TASSET_S,Gravios Tasset S,グラビドＳフォールド,铠龙Ｓ腰甲
GRAVIOS_TASSET_U,Gravios Tasset U,グラビドＵフォールド,铠龙Ｕ腰甲
GRAVIOS_VAMBRACES,Gravios Vambraces,グラビドアーム,铠龙臂甲
GRAVIOS_VAMBRACES_PLUS,Gravios Vambraces+,グラビドＧアーム,铠龙Ｇ臂甲
GRAVIOS_VAMBRACES_S,Gravios Vambraces S,グラビドＳアーム,铠龙Ｓ臂甲
GRAVIOS_VAMBRACES_U,Gravios Vambraces U,グラビドＵアーム,铠龙Ｕ臂甲
GRAVIOS_VEST,Gravios Vest,グラビドレジスト,铠龙轻甲
GRAVIOS_VEST_PLUS,Gravios Vest+,グラビドＧレジスト,铠龙Ｇ轻甲
GRAVIOS_VEST_S,Gravios Vest S,グラビドＳレジスト,铠龙Ｓ轻甲
GRAVIOS_VEST_U,Gravios Vest U,グラビドＵレジスト,铠龙Ｕ轻甲
GRAVIOS_WING,Gravios Wing,鎧竜の翼,铠龙的翼
GREAT_LOBSTERSHELL,Great Lobstershell,エビの巨大殻,虾之巨大壳
GREAT_SWORD_TICKET,Great Sword Ticket,大剣チケット,大剑券
GREEN_PANTS,Green Pants,グリーンジャージー,绿色束裤
GREEN_PANTS_PLUS,Green Pants+,グリーンＧジャージー,绿色Ｇ束裤
GREEN_PANTS_S,Green Pants S,グリーンＳジャージー,绿色Ｓ束裤
GREEN_PLESIOTH_FIN,Green Plesioth Fin,翠水竜のヒレ,翠水龙的鳍
GREEN_PLESIOTH_SCALE,Green Plesioth Scale,翠水竜の鱗,翠水龙的鳞
GUARD,Guard,ガード性能,防御性能
GUARD_MINUS_1,Guard -1,ガード性能-1,防御性能-1
GUARD_MINUS_2,Guard -2,ガード性能-2,防御性能-2
GUARD_PLUS_1,Guard +1,ガード性能+1,防御性能+1
GUARD_PLUS_2,Guard +2,ガード性能+2,防御性能+2
GUARD_UP,Guard Up,ガード強化,防御强化
GUILD_KNIGHT_BOOTS,Guild Knight Boots,ギルドナイトブーツ,公会骑士长筒靴
GUILD_KNIGHT_BOOTS_PLUS,Guild Knight Boots+,ギルドナイトＧブーツ,公会骑士Ｇ长筒靴
GUILD_KNIGHT_BOOTS_S,Guild Knight Boots S,ギルドナイトＳブーツ,公会骑士Ｓ长筒靴
GUILD_KNIGHT_COAT,Guild Knight Coat,ギルドナイトコイル,公会骑士扣带
GUILD_KNIGHT_COAT_PLUS,Guild Knight Coat+,ギルドナイトＧコイル,公会骑士Ｇ扣带
GUILD_KNIGHT_COAT_S,Guild Knight Coat S,ギルドナイトＳコイル,公会骑士Ｓ扣带
GUILD_KNIGHT_FEATHER,Guild Knight Feather,ギルドナイトフェザー,公会骑士羽帽
GUILD_KNIGHT_FEATHER_PLUS,Guild Knight Feather+,ギルドナイトＧロポス,公会骑士Ｇ冠帽
GUILD_KNIGHT_FEATHER_S,Guild Knight Feather S,ギルドナイトＳロポス,公会骑士Ｓ冠帽
GUILD_KNIGHT_GLOVES,Guild Knight Gloves,ギルドナイトグローブ,公会骑士手套
GUILD_KNIGHT_GLOVES_PLUS,Guild Knight Gloves+,ギルドナイトＧグラブ,公会骑士Ｇ手套
GUILD_KNIGHT_GLOVES_S,Guild Knight Gloves S,ギルドナイトＳグラブ,公会骑士Ｓ手套
GUILD_KNIGHT_KILT,Guild Knight Kilt,ギルドナイトスカート,公会骑士围腰
